2025-04-15 at 21:04:27 | INFO | Запись User с ID 830117694 не найдена.
2025-04-15 at 21:04:27 | INFO | Добавление записи User с параметрами: {'id': 830117694, 'username': 'Nikolai_Baranov', 'first_name': 'Николай', 'last_name': 'Баранов'}
2025-04-15 at 21:04:27 | INFO | Запись User успешно добавлена.
2025-04-15 at 21:24:58 | INFO | Запись User с ID 830117694 не найдена.
2025-04-15 at 21:24:58 | INFO | Добавление записи User с параметрами: {'id': 830117694, 'username': 'Nikolai_Baranov', 'first_name': 'Николай', 'last_name': 'Баранов'}
2025-04-15 at 21:24:58 | INFO | Запись User успешно добавлена.
2025-04-15 at 21:28:37 | INFO | Запись User с ID 830117694 не найдена.
2025-04-15 at 21:28:37 | INFO | Добавление записи User с параметрами: {'id': 830117694, 'username': 'Nikolai_Baranov', 'first_name': 'Николай', 'last_name': 'Баранов'}
2025-04-15 at 21:28:37 | INFO | Запись User успешно добавлена.
2025-04-15 at 21:28:48 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-16 at 14:18:21 | INFO | Запись User с ID 830117694 не найдена.
2025-04-16 at 14:18:21 | INFO | Добавление записи User с параметрами: {'id': 830117694, 'username': 'Nikolai_Baranov', 'first_name': 'Николай', 'last_name': 'Баранов'}
2025-04-16 at 14:18:21 | INFO | Запись User успешно добавлена.
2025-04-16 at 14:18:27 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-16 at 15:56:30 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 3}
2025-04-16 at 16:02:36 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-16 at 16:02:38 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-16 at 16:02:39 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 3}
2025-04-16 at 16:02:40 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 4}
2025-04-16 at 16:02:40 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 5}
2025-04-16 at 16:02:41 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 6}
2025-04-16 at 16:02:47 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-17 at 14:39:59 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-18 at 13:38:31 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-18 at 13:57:59 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 1}
2025-04-18 at 13:58:01 | INFO | Найдено 0 записей.
2025-04-18 at 14:22:49 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 14:22:51 | INFO | Найдено 0 записей.
2025-04-18 at 14:41:27 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 14:41:30 | INFO | Найдено 3 записей.
2025-04-18 at 14:43:30 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 14:43:30 | INFO | Найдено 3 записей.
2025-04-18 at 15:12:03 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 15:12:06 | INFO | Найдено 3 записей.
2025-04-18 at 15:12:33 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 15:12:33 | INFO | Найдено 3 записей.
2025-04-18 at 15:12:43 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 15:12:43 | INFO | Найдено 3 записей.
2025-04-18 at 15:12:56 | INFO | Поиск всех записей Table по фильтрам: {'capacity': 2}
2025-04-18 at 15:12:56 | INFO | Найдено 3 записей.
